data_date,open,high,low,close,adj_close,volume,dividend amt,split coef,ticker
2020-04-08,126.36,127.99,122.25,127.25,126.51984473,2478445,0.0000,1.0,SPY
2020-04-07,129.02,130.88,126.02,126.11,125.386386003,3074981,0.0000,1.0,SPY
2020-04-06,119.58,127.46,117.9,126.79,126.062484191,3419874,0.0000,1.0,SPY
2020-04-03,115.08,117.23,113.72,114.61,113.952372531,1701872,0.0000,1.0,SPY
2020-04-02,111.25,116.3,110.87,116.03,115.364224629,2403719,0.0000,1.0,SPY
2020-04-01,113.93,115.36,110.75,111.92,111.27780764,2521032,0.0000,1.0,SPY
2020-03-31,115.68,120.25,113.9,117.69,117.014699617,3956022,0.0000,1.0,SPY
2020-03-30,113.63,117.75,112.43,116.68,116.010494956,2030797,0.0000,1.0,SPY
2020-03-27,114.52,117.78,111.04,111.77,111.128668334,2870096,0.0000,1.0,SPY
2020-03-26,109.51,118.69,109.51,117.91,117.233437266,4158836,0.0000,1.0,SPY
2020-03-25,102.65,112.99,100.52,108.21,107.589095468,4424844,0.0000,1.0,SPY
2020-03-24,98.71,105.22,97.5,103.76,103.164629385,4732473,0.0000,1.0,SPY
2020-03-23,99.06,101.04,90.14,92.66,92.1283207286,5405777,0.0000,1.0,SPY
2020-03-20,101.55,106.47,98.53,100.94,100.360810429,6662627,0.0000,1.0,SPY
2020-03-19,104.95,112.89,100.74,102.33,101.742834666,4492457,0.0000,1.0,SPY
2020-03-18,104.5,110.03,96.02,105.82,105.212809189,5216256,0.0000,1.0,SPY
2020-03-17,109.27,118.08,107.15,111.05,110.412799664,5299624,0.0000,1.0,SPY
2020-03-16,114.37,119.92,106.4,107.04,106.42580888,4364704,0.0000,1.0,SPY
2020-03-13,124.35,125.78,117.29,125.48,124.760000918,4073326,0.0000,1.0,SPY
2020-03-12,122.26,127.34,119.92,120.28,119.589838304,5299557,0.0000,1.0,SPY
2020-03-11,130.39,131.65,127.36,130.27,129.522516094,3527381,0.0000,1.0,SPY
2020-03-10,133.62,133.62,127.27,132.72,131.958458095,3265548,0.0000,1.0,SPY
2020-03-09,128.8,133.29,127.59,129.72,128.975671972,2827369,0.0000,1.0,SPY
2020-03-06,134.92,137.6,131.83,137.05,136.263612733,3204214,0.0000,1.0,SPY
2020-03-05,140.73,142.64,138.06,139.56,138.759210456,2472637,0.0000,1.0,SPY
2020-03-04,139.95,143.7,138.52,143.62,142.795914343,3283742,0.0000,1.0,SPY
2020-03-03,139.46,141.76,135.62,137.24,136.452522521,2768212,0.0000,1.0,SPY
2020-03-02,133.84,139.17,133.06,138.91,138.11294013,2881583,0.0000,1.0,SPY
2020-02-28,130.4,133.24,127.0,133.23,132.465531736,4776253,0.0000,1.0,SPY
2020-02-27,134.46,137.43,133.9,133.95,133.181400406,3075217,0.0000,1.0,SPY
2020-02-26,135.94,139.25,135.5,136.15,135.368776896,2562064,0.0000,1.0,SPY
2020-02-25,138.79,138.85,134.32,134.82,134.046408381,2236164,0.0000,1.0,SPY
2020-02-24,139.28,140.82,137.54,138.39,137.595923868,1642041,0.0000,1.0,SPY
2020-02-21,142.93,143.0,141.5,142.23,141.413890106,1754761,0.0000,1.0,SPY
